Pot.No,Block,Realized_PosA,Realized_PosB,AccID_Tester_posA,AccID_Target_posB,CommunityType,RealizedComposition,Rosette_PosA_22to24March,Rosette_PosB_22to24March,DateOfFirstFlowering.PosA,DateOfFirstFlowering.PosB,washingDateRoot,RootMass_mg,RootMass_mg_corrected,Biomass_mg_posA,Biomass_mg_posB,PotBiomass_mg
G713,b1,Cvi,Pna17,6911,7523,mixture,Cvi Pna17,8.5,7,03/29/2016,NA,04/19/2012,217.3,247.68,364,477,841
G714,b1,Cvi,Pro,6911,8213,mixture,Cvi Pro,8,8.5,03/27/2016,03/24/2016,04/17/2012,144.7,144.70,303,663,966
G715,b1,Cvi,Ra,6911,6958,mixture,Cvi Ra,6.5,7.5,03/29/2016,03/27/2016,04/18/2012,230.6,251.40,254,726,980
G716,b1,Cvi,Ren1,6911,6959,mixture,Cvi Ren1,6,6.5,03/31/2016,04/05/2016,04/17/2012,222.8,222.80,252,626,878
G717,b1,Cvi,NA,6911,NA,single,Cvi,6,NA,03/31/2016,NA,04/20/2012,73.9,130.53,325,NA,NA
G718,b1,Cvi,Rmx2,6911,7524,mixture,Cvi Rmx2,6.5,7,04/03/2016,NA,04/18/2012,235.2,256.00,250,553,803
G719,b1,Cvi,Rmx180,6911,7525,mixture,Cvi Rmx180,7,NA,03/20/2016,04/10/2016,04/18/2012,192.2,213.00,145,666,811
G720,b1,Cvi,Rrs7,6911,7514,mixture,Cvi Rrs7,6.5,6,04/03/2016,NA,04/19/2012,149.2,179.58,196,438,634
G721,b1,Cvi,Se,6911,6961,mixture,Cvi Se,7.5,8,03/27/2016,NA,04/20/2012,134.6,191.23,325,581,906
G722,b1,Cvi,Sha,6911,6962,mixture,Cvi Sha,6,6.5,03/29/2016,03/31/2016,04/20/2012,118.4,175.03,197,479,676
G723,b1,Cvi,Sorbo,6911,6963,mixture,Cvi Sorbo,6,8,03/29/2016,NA,04/19/2012,191.3,221.68,229,721,950
G724,b1,Cvi,Tamm2,6911,6968,mixture,Cvi Tamm2,7.5,8.5,03/24/2016,NA,04/18/2012,143.3,164.10,361,383,744
G725,b1,Cvi,Tamm27,6911,6969,mixture,Cvi Tamm27,7,8,03/29/2016,NA,04/20/2012,87.2,143.83,278,307,585
G726,b1,Cvi,Ts1,6911,6970,mixture,Cvi Ts1,6,8,03/24/2016,04/10/2016,04/20/2012,108.8,165.43,302,445,747
G727,b1,Cvi,Tsu1,6911,6972,mixture,Cvi Tsu1,7,8,03/22/2016,03/31/2016,04/19/2012,181,211.38,235,960,1195
G728,b1,Cvi,Ull23,6911,6973,mixture,Cvi Ull23,7,8,03/31/2016,03/29/2016,04/20/2012,122.5,179.13,159,758,917
G729,b1,Cvi,Uod1,6911,6975,mixture,Cvi Uod1,8,8.5,03/29/2016,03/27/2016,04/20/2012,128.9,185.53,340,593,933
G730,b1,Cvi,Uod7,6911,6976,mixture,Cvi Uod7,7,8,03/22/2016,NA,04/19/2012,207,237.38,354,593,947
G731,b1,Cvi,Van,6911,6977,mixture,Cvi Van,7,8,03/24/2016,03/27/2016,04/18/2012,119.9,140.70,312,771,1083
G732,b1,Cvi,Var21,6911,7516,mixture,Cvi Var21,5,6,03/27/2016,NA,04/19/2012,193.3,223.68,253,435,688
G733,b1,Cvi,Var26,6911,7517,mixture,Cvi Var26,7,7,03/20/2016,NA,04/18/2012,105.6,126.40,260,NA,NA
G734,b1,Cvi,Wa,6911,6978,mixture,Cvi Wa,6,9,03/27/2016,03/22/2016,04/20/2012,73.7,130.33,221,631,852
G735,b1,Cvi,Wie,6911,6979,mixture,Cvi Wie,7.5,8.5,03/27/2016,03/20/2016,04/19/2012,119.4,149.78,306,566,872
G736,b1,Cvi,Ws0,6911,6980,mixture,Cvi Ws0,7.5,8.5,03/22/2016,NA,04/19/2012,164.2,194.58,257,716,973
G737,b1,Cvi,Ws2,6911,6981,mixture,Cvi Ws2,7.5,7,03/27/2016,03/22/2016,04/19/2012,104.6,134.98,328,592,920
G738,b1,Cvi,Wt5,6911,6982,mixture,Cvi Wt5,6,6.5,03/24/2016,04/03/2016,04/19/2012,112.2,142.58,271,588,859
G739,b1,Cvi,Yo,6911,6983,mixture,Cvi Yo,8.5,7.5,03/31/2016,NA,04/19/2012,154.5,184.88,261,558,819
G740,b1,Cvi,Zdr,6911,6984,mixture,Cvi Zdr,8,7,03/24/2016,03/27/2016,04/18/2012,169.2,190.00,299,614,913
G741,b1,Cvi,Sav,6911,8412,mixture,Cvi Sav,7.5,7.5,03/27/2016,03/20/2016,04/20/2012,122.6,179.23,402,564,966
G742,b1,Cvi,Uk,6911,7378,mixture,Cvi Uk,6,9,03/22/2016,04/07/2016,04/19/2012,163.4,193.78,218,738,956
G743,b1,Cvi,Sf2,6911,7328,mixture,Cvi Sf2,7,7.5,04/05/2016,04/10/2016,04/18/2012,170.5,191.30,297,528,825
G744,b1,Cvi,St0,6911,8387,mixture,Cvi St0,6,9,03/22/2016,03/31/2016,04/20/2012,148.7,205.33,220,941,1161
G745,b1,Cvi,Cvi,6911,6911,monoculture,Cvi Cvi,7.5,7,03/27/2016,03/22/2016,04/20/2012,89.6,146.23,300,245,545
G746,b1,Cvi,Ci17,6911,6907,mixture,Cvi Ci17,6.5,5,03/31/2016,NA,04/18/2012,128.7,149.50,282,518,800
G747,b1,Cvi,Kno10,6911,6927,mixture,Cvi Kno10,6.5,7,03/27/2016,NA,04/18/2012,149.9,170.70,228,526,754
G748,b1,Lp26,Lp26,7521,7521,monoculture,Lp26 Lp26,9.5,9.5,04/05/2016,04/12/2016,04/20/2012,185.7,242.33,501,552,1053
G749,b1,Cvi,Pu27,6911,6956,mixture,Cvi Pu27,7,8,03/24/2016,04/12/2016,04/18/2012,170.4,191.20,261,468,729
G750,b1,Cvi,Sq1,6911,6966,mixture,Cvi Sq1,6,7,04/03/2016,NA,04/19/2012,168.3,198.68,224,618,842
G751,b1,Cvi,NA,6911,NA,single,Cvi,6.5,NA,03/31/2016,NA,04/20/2012,86.5,143.13,437,NA,NA
G752,b1,Cvi,Ag,6911,6897,mixture,Cvi Ag,7,5.5,03/29/2016,NA,04/19/2012,187.9,218.28,268,617,885
G753,b1,Cvi,Gy,6911,8214,mixture,Cvi Gy,7,7.5,03/27/2016,04/03/2016,04/18/2012,170.3,191.10,352,436,788
G754,b1,Cvi,Bor4,6911,6903,mixture,Cvi Bor4,6.5,8,03/24/2016,04/03/2016,04/17/2012,190,190.00,202,836,1038
G755,b1,Cvi,Fab4,6911,6918,mixture,Cvi Fab4,7.5,6.5,03/29/2016,NA,04/20/2012,70.3,126.93,299,198,497
G756,b1,Cvi,Ga,6911,6919,mixture,Cvi Ga,6.5,7,03/29/2016,04/07/2016,04/19/2012,199.6,229.98,279,739,1018
G757,b1,Cvi,Kno18,6911,6928,mixture,Cvi Kno18,7,9,03/24/2016,NA,04/19/2012,220,250.38,308,756,1064
G758,b1,Cvi,Mt0,6911,6939,mixture,Cvi Mt0,6.5,8,03/31/2016,03/20/2016,04/20/2012,83.7,140.33,189,727,916
G759,b1,Cvi,Omo21,6911,7518,mixture,Cvi Omo21,6.5,7,03/31/2016,NA,04/18/2012,179.1,199.90,278,470,748
G760,b1,Cvi,Pu223,6911,6951,mixture,Cvi Pu223,7,7,03/22/2016,04/10/2016,04/19/2012,132.3,162.68,307,478,785
G761,b1,Cvi,Rrs10,6911,7515,mixture,Cvi Rrs10,6.5,6.5,03/24/2016,NA,04/17/2012,216.4,216.40,270,627,897
G762,b1,Cvi,Fei,6911,8215,mixture,Cvi Fei,6.5,7,03/31/2016,03/31/2016,04/18/2012,158.2,179.00,270,641,911
G763,b1,Cvi,Kas,6911,8424,mixture,Cvi Kas,7,9.5,03/31/2016,NA,04/20/2012,138.4,195.03,200,589,789
G764,b1,Cvi,No,6911,7275,mixture,Cvi No,6.5,9.5,03/27/2016,03/20/2016,04/17/2012,134.4,134.40,273,816,1089
G765,b1,Cvi,Bla1,6911,8264,mixture,Cvi Bla1,6,8.5,04/03/2016,NA,04/18/2012,159.5,180.30,245,374,619
G766,b1,Cvi,Can,6911,8274,mixture,Cvi Can,7,NA,03/27/2016,NA,04/19/2012,73.6,103.98,378,61,439
G767,b1,Cvi,Ge,6911,8297,mixture,Cvi Ge,5.5,8,04/03/2016,NA,04/20/2012,170,226.63,262,554,816
G768,b1,Cvi,Wil2,6911,7413,mixture,Cvi Wil2,5.5,9,03/20/2016,03/24/2016,04/19/2012,172.7,203.08,160,1029,1189
G769,b1,Sf2,Ci5,7328,6908,mixture,Sf2 Ci5,8.5,5.5,04/07/2016,NA,04/17/2012,139.8,139.80,536,384,920
G770,b1,Sf2,Ll0,7328,6933,mixture,Sf2 Ll0,8,6,NA,04/12/2016,04/20/2012,138.1,194.73,539,373,912
G771,b1,Sf2,Nfa10,7328,6943,mixture,Sf2 Nfa10,9,7.5,NA,03/31/2016,04/17/2012,200.7,200.70,550,451,1001
G772,b1,Sf2,Nfa8,7328,6944,mixture,Sf2 Nfa8,9.5,8.5,NA,03/27/2016,04/18/2012,177.2,198.00,447,511,958
G773,b1,Sf2,Spr16,7328,6965,mixture,Sf2 Spr16,8,6.5,04/07/2016,NA,04/19/2012,175.1,205.48,458,307,765
G774,b1,Sf2,Ts5,7328,6971,mixture,Sf2 Ts5,9.5,7,04/05/2016,NA,04/17/2012,247.2,247.20,774,497,1271
G775,b1,Sf2,Kz9,7328,6931,mixture,Sf2 Kz9,8,7.5,04/05/2016,03/22/2016,04/19/2012,146,176.38,565,571,1136
G776,b1,Sf2,An1,7328,6898,mixture,Sf2 An1,9,7,04/07/2016,03/20/2016,04/19/2012,247.8,278.18,611,502,1113
G777,b1,Sf2,Bay,7328,6899,mixture,Sf2 Bay,8.5,7.5,NA,03/24/2016,04/18/2012,186.3,207.10,446,728,1174
G778,b1,Sf2,Bil5,7328,6900,mixture,Sf2 Bil5,10,7,04/10/2016,NA,04/20/2012,164.3,220.93,642,155,797
G779,b1,Sf2,Bil7,7328,6901,mixture,Sf2 Bil7,10,5,NA,NA,04/18/2012,124.4,145.20,795,89,884
G780,b1,Sf2,Bor1,7328,5837,mixture,Sf2 Bor1,9,7,04/07/2016,03/31/2016,04/18/2012,209.1,229.90,606,645,1251
G781,b1,Sf2,Br0,7328,6904,mixture,Sf2 Br0,7.5,7.5,NA,NA,04/18/2012,266.1,286.90,338,589,927
G782,b1,Sf2,Bur,7328,6905,mixture,Sf2 Bur,10,8,NA,04/07/2016,04/19/2012,198.7,229.08,506,699,1205
G783,b1,Sf2,C24,7328,6906,mixture,Sf2 C24,11,8.5,NA,03/29/2016,04/18/2012,269.8,290.60,611,671,1282
G784,b1,Sf2,Col,7328,6909,mixture,Sf2 Col,11,7.5,04/05/2016,03/27/2016,04/17/2012,239.2,239.20,729,527,1256
G785,b1,Sf2,Ct,7328,6910,mixture,Sf2 Ct,9.5,7.5,NA,03/27/2016,04/20/2012,118.4,175.03,491,574,1065
G786,b1,Sf2,Ed1,7328,6009,mixture,Sf2 Ed1,8,9,04/07/2016,NA,04/19/2012,132.6,162.98,608,210,818
G787,b1,Sf2,Ed2,7328,6913,mixture,Sf2 Ed2,9,5.5,04/07/2016,NA,04/17/2012,136.8,136.80,707,148,855
G788,b1,Sf2,Edi0,7328,6914,mixture,Sf2 Edi0,10,8.5,04/07/2016,NA,04/18/2012,256.3,277.10,485,717,1202
G789,b1,Sf2,Ei2,7328,6915,mixture,Sf2 Ei2,9,8,NA,04/05/2016,04/19/2012,161.8,192.18,503,586,1089
G790,b1,Sf2,Est,7328,6916,mixture,Sf2 Est,10,9.5,04/05/2016,03/27/2016,04/18/2012,188.4,209.20,510,502,1012
G791,b1,Sf2,Fab2,7328,6917,mixture,Sf2 Fab2,9,7,NA,NA,04/19/2012,206.7,237.08,639,410,1049
G792,b1,Sf2,Got22,7328,6920,mixture,Sf2 Got22,8.5,9,NA,NA,04/18/2012,220.6,241.40,555,469,1024
G793,b1,Sf2,Got7,7328,6921,mixture,Sf2 Got7,10,9,NA,NA,04/20/2012,166.4,223.03,590,374,964
G794,b1,Sf2,Gu0,7328,6922,mixture,Sf2 Gu0,9,6.5,NA,03/24/2016,04/17/2012,146.5,146.50,748,513,1261
G795,b1,Sf2,Kin,7328,6926,mixture,Sf2 Kin,9,5.5,04/07/2016,04/05/2016,04/20/2012,147.4,204.03,620,367,987
G796,b1,Sf2,Kond,7328,6929,mixture,Sf2 Kond,9,9,NA,04/07/2016,04/19/2012,170.9,201.28,462,754,1216
G797,b1,Sf2,Ler,7328,6932,mixture,Sf2 Ler,8,6,04/05/2016,03/24/2016,04/19/2012,157.3,187.68,600,416,1016
G798,b1,Sf2,Lov1,7328,6043,mixture,Sf2 Lov1,10,6.5,04/07/2016,NA,04/19/2012,197.9,228.28,759,181,940
G799,b1,Sf2,Lov5,7328,6046,mixture,Sf2 Lov5,7.5,6.5,04/12/2016,NA,04/20/2012,130.5,187.13,598,206,804
G800,b1,Sf2,Lp22,7328,7520,mixture,Sf2 Lp22,8,7.5,NA,03/29/2016,04/19/2012,201.3,231.68,511,776,1287
G801,b1,Sf2,Lz,7328,6936,mixture,Sf2 Lz,8.5,8.5,NA,04/12/2016,04/20/2012,199.7,256.33,436,600,1036
G802,b1,Sf2,Mrk,7328,6937,mixture,Sf2 Mrk,9,8.5,NA,03/29/2016,04/17/2012,142.2,142.20,509,790,1299
G803,b1,Sf2,Mz,7328,6940,mixture,Sf2 Mz,10,4.5,04/12/2016,03/27/2016,04/17/2012,138.6,138.60,811,158,969
G804,b1,NA,Nd,NA,6942,single,Nd,NA,7,NA,03/27/2016,04/19/2012,84.8,115.18,NA,751,NA
G805,b1,Sf2,Nok3,7328,6945,mixture,Sf2 Nok3,10,8,04/05/2016,NA,04/20/2012,141.8,198.43,429,477,906
G806,b1,Sf2,Omo23,7328,7519,mixture,Sf2 Omo23,9.5,7.5,03/31/2016,NA,04/18/2012,167.3,188.10,666,542,1208
G807,b1,Sf2,Oy,7328,6946,mixture,Sf2 Oy,9.5,8,NA,03/31/2016,04/19/2012,173.3,203.68,409,739,1148
G808,b1,Sf2,Pna10,7328,7526,mixture,Sf2 Pna10,8.5,5,NA,NA,04/18/2012,187.7,208.50,567,248,815
G809,b1,Sf2,Pna17,7328,7523,mixture,Sf2 Pna17,10,6,NA,NA,04/17/2012,258.2,258.20,704,426,1130
G810,b1,Sf2,Pro,7328,8213,mixture,Sf2 Pro,9.5,9.5,04/10/2016,03/24/2016,04/20/2012,168.3,224.93,417,603,1020
G811,b1,Sf2,Ra,7328,6958,mixture,Sf2 Ra,9,6,04/05/2016,03/31/2016,04/20/2012,144.9,201.53,495,465,960
G812,b1,Sf2,Ren1,7328,6959,mixture,Sf2 Ren1,11,6,NA,04/10/2016,04/17/2012,250.2,250.20,757,398,1155
G813,b1,Sf2,Ren11,7328,6960,mixture,Sf2 Ren11,8.5,8,NA,03/27/2016,04/18/2012,169.9,190.70,468,580,1048
G814,b1,Sf2,Rmx2,7328,7524,mixture,Sf2 Rmx2,8.5,7.5,NA,NA,04/19/2012,230.4,260.78,673,519,1192
G815,b1,Sf2,Rmx180,7328,7525,mixture,Sf2 Rmx180,9.5,6,04/07/2016,04/10/2016,04/18/2012,244.3,265.10,534,390,924
G816,b1,Sf2,Rrs7,7328,7514,mixture,Sf2 Rrs7,8,6,NA,NA,04/18/2012,145.2,166.00,405,535,940
G817,b1,Sf2,Se,7328,6961,mixture,Sf2 Se,8.5,7,NA,NA,04/18/2012,179,199.80,568,432,1000
G818,b1,Sf2,Sha,7328,6962,mixture,Sf2 Sha,9.5,2,NA,NA,04/20/2012,124.2,180.83,830,16,846
G819,b1,Sf2,Sorbo,7328,6963,mixture,Sf2 Sorbo,8.5,8,04/10/2016,04/10/2016,04/17/2012,272.1,272.10,490,574,1064
G820,b1,Sf2,Tamm2,7328,6968,mixture,Sf2 Tamm2,10,7,04/10/2016,NA,04/20/2012,188.5,245.13,583,276,859
G821,b1,Sf2,Tamm27,7328,6969,mixture,Sf2 Tamm27,9,8,04/10/2016,NA,04/17/2012,265.5,265.50,666,287,953
G822,b1,Sf2,Ts1,7328,6970,mixture,Sf2 Ts1,9,5,04/07/2016,04/10/2016,04/18/2012,143.1,163.90,483,271,754
G823,b1,Sf2,Tsu1,7328,6972,mixture,Sf2 Tsu1,8,9.5,NA,03/29/2016,04/17/2012,194.1,194.10,292,1016,1308
G824,b1,Sf2,Ull23,7328,6973,mixture,Sf2 Ull23,10,9,NA,03/27/2016,04/18/2012,214.8,235.60,460,787,1247
G825,b1,Sf2,Uod1,7328,6975,mixture,Sf2 Uod1,10,7.5,04/10/2016,03/29/2016,04/19/2012,181.3,211.68,628,516,1144
G826,b1,Sf2,Uod7,7328,6976,mixture,Sf2 Uod7,8.5,8.5,NA,NA,04/17/2012,233.2,233.20,553,495,1048
G827,b1,Sf2,Van,7328,6977,mixture,Sf2 Van,9,7,04/10/2016,03/27/2016,04/17/2012,307.5,307.50,524,608,1132
G828,b1,Sf2,Var21,7328,7516,mixture,Sf2 Var21,8,6.5,04/12/2016,NA,04/18/2012,236.8,257.60,568,299,867
G829,b1,Sf2,Var26,7328,7517,mixture,Sf2 Var26,9.5,7.5,04/12/2016,NA,04/18/2012,243,263.80,622,249,871
G830,b1,Sf2,Wa,7328,6978,mixture,Sf2 Wa,8.5,4.5,NA,04/03/2016,04/17/2012,145.6,145.60,650,239,889
G831,b1,Sf2,Wie,7328,6979,mixture,Sf2 Wie,9,10,04/05/2016,03/20/2016,04/17/2012,98.8,98.80,628,528,1156
G832,b1,Sf2,Ws0,7328,6980,mixture,Sf2 Ws0,8.5,8,NA,NA,04/17/2012,240.2,240.20,476,674,1150
G833,b1,Sf2,Ws2,7328,6981,mixture,Sf2 Ws2,10,8,04/07/2016,03/20/2016,04/19/2012,165.7,196.08,613,433,1046
G834,b1,Sf2,Wt5,7328,6982,mixture,Sf2 Wt5,10,7.5,NA,03/31/2016,04/19/2012,226.3,256.68,627,593,1220
G835,b1,Sf2,Yo,7328,6983,mixture,Sf2 Yo,10,9.5,NA,NA,04/17/2012,242.3,242.30,598,721,1319
G836,b1,Sf2,Zdr,7328,6984,mixture,Sf2 Zdr,9,9,04/07/2016,04/07/2016,04/18/2012,247.7,268.50,439,687,1126
G837,b1,Sf2,Sav,7328,8412,mixture,Sf2 Sav,8.5,6,04/03/2016,03/20/2016,04/20/2012,133.8,190.43,556,396,952
G838,b1,Sf2,Uk,7328,7378,mixture,Sf2 Uk,9.5,9.5,04/12/2016,04/07/2016,04/19/2012,203.5,233.88,424,607,1031
G839,b1,Sf2,Sf2,7328,7328,monoculture,Sf2 Sf2,10,8.5,NA,NA,04/17/2012,320.2,320.20,575,615,1190
G840,b1,Sf2,St0,7328,8387,mixture,Sf2 St0,9,9,NA,03/31/2016,04/19/2012,212.5,242.88,505,815,1320
G841,b1,Sf2,Cvi,7328,6911,mixture,Sf2 Cvi,10,6,NA,03/27/2016,04/20/2012,114.7,171.33,627,227,854
G842,b1,Sf2,Ci17,7328,6907,mixture,Sf2 Ci17,8,6,04/07/2016,NA,04/18/2012,160,180.80,501,505,1006
G843,b1,Sf2,Kno10,7328,6927,mixture,Sf2 Kno10,10,6.5,04/05/2016,NA,04/19/2012,234.1,264.48,592,507,1099
G844,b1,Sf2,Lp26,7328,7521,mixture,Sf2 Lp26,9,5.5,NA,04/12/2016,04/19/2012,259.5,289.88,432,493,925
G845,b1,Sf2,Pu27,7328,6956,mixture,Sf2 Pu27,8.5,7.5,04/05/2016,04/10/2016,04/18/2012,154,174.80,605,389,994
G846,b1,Sf2,Sq1,7328,6966,mixture,Sf2 Sq1,9,8,NA,NA,04/19/2012,144.6,174.98,468,533,1001
G847,b1,Sf2,Ull25,7328,6974,mixture,Sf2 Ull25,10,7.5,04/05/2016,03/27/2016,04/20/2012,149,205.63,628,653,1281
G848,b1,Sf2,Ag,7328,6897,mixture,Sf2 Ag,10.5,6.5,04/03/2016,NA,04/19/2012,194.3,224.68,542,523,1065
G849,b1,Sf2,Gy,7328,8214,mixture,Sf2 Gy,8,8,04/12/2016,04/07/2016,04/20/2012,98.7,155.33,507,313,820
G850,b1,NA,NA,NA,NA,monoculture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G851,b1,Sf2,Fab4,7328,6918,mixture,Sf2 Fab4,9,7.5,NA,NA,04/19/2012,119.9,150.28,578,260,838
G852,b1,Sf2,Ga,7328,6919,mixture,Sf2 Ga,10.5,6,04/05/2016,04/05/2016,04/19/2012,210.5,240.88,619,489,1108
G853,b1,Sf2,Kno18,7328,6928,mixture,Sf2 Kno18,9.5,9.5,03/31/2016,NA,04/19/2012,200.4,230.78,454,623,1077
G854,b1,Sf2,Mt0,7328,6939,mixture,Sf2 Mt0,8.5,7,04/12/2016,03/22/2016,04/19/2012,169,199.38,583,651,1234
G855,b1,Sf2,Omo21,7328,7518,mixture,Sf2 Omo21,8.5,9.5,NA,NA,04/18/2012,257.3,278.10,505,441,946
G856,b1,Sf2,Pu223,7328,6951,mixture,Sf2 Pu223,10.5,8,04/10/2016,04/03/2016,04/18/2012,224.1,244.90,587,488,1075
G857,b1,Sf2,Rrs10,7328,7515,mixture,Sf2 Rrs10,7.5,7,04/10/2016,NA,04/19/2012,189.5,219.88,470,463,933
G858,b1,Sf2,Fei,7328,8215,mixture,Sf2 Fei,9,10.5,03/31/2016,03/29/2016,04/19/2012,184,214.38,391,912,1303
G859,b1,Sf2,Kas,7328,8424,mixture,Sf2 Kas,10,9,04/12/2016,NA,04/17/2012,279.9,279.90,401,639,1040
G860,b1,Sf2,No,7328,7275,mixture,Sf2 No,9.5,10,04/12/2016,03/20/2016,04/17/2012,197.9,197.90,481,581,1062
G861,b1,Sf2,Bla1,7328,8264,mixture,Sf2 Bla1,10,10,NA,NA,04/18/2012,221.9,242.70,593,363,956
G862,b1,Sf2,Can,7328,8274,mixture,Sf2 Can,8.5,8,NA,NA,04/18/2012,145.2,166.00,599,413,1012
G863,b1,Sf2,Ge,7328,8297,mixture,Sf2 Ge,8,7.5,NA,NA,04/18/2012,211.7,232.50,464,509,973
G864,b1,Sf2,Wil2,7328,7413,mixture,Sf2 Wil2,7,7.5,NA,03/24/2016,04/17/2012,161.2,161.20,421,615,1036
G865,b1,St0,Ci5,8387,6908,mixture,St0 Ci5,8.5,5.5,03/31/2016,NA,04/18/2012,270.4,291.20,780,310,1090
G866,b1,St0,Ll0,8387,6933,mixture,St0 Ll0,7,6.5,04/05/2016,NA,04/20/2012,174.7,231.33,743,334,1077
G867,b1,St0,Nfa10,8387,6943,mixture,St0 Nfa10,7.5,6,03/31/2016,03/31/2016,04/19/2012,126.1,156.48,697,311,1008
G868,b1,St0,Nfa8,8387,6944,mixture,St0 Nfa8,8,10,04/03/2016,03/24/2016,04/20/2012,172,228.63,608,607,1215
G869,b1,St0,Spr16,8387,6965,mixture,St0 Spr16,10,6,03/29/2016,NA,04/18/2012,245.4,266.20,863,333,1196
G870,b1,St0,Ts5,8387,6971,mixture,St0 Ts5,10,8,03/31/2016,NA,04/20/2012,165.9,222.53,710,305,1015
G871,b1,St0,Kz9,8387,6931,mixture,St0 Kz9,8.5,6,03/31/2016,04/05/2016,04/18/2012,150.5,171.30,696,411,1107
G872,b1,St0,An1,8387,6898,mixture,St0 An1,10,7,03/29/2016,03/20/2016,04/19/2012,277.5,307.88,951,287,1238
G873,b1,St0,Bay,8387,6899,mixture,St0 Bay,9.5,7.5,03/29/2016,03/24/2016,04/17/2012,244,244.00,930,689,1619
G874,b1,St0,Bil5,8387,6900,mixture,St0 Bil5,10,6.5,03/29/2016,NA,04/20/2012,136.2,192.83,853,105,958
G875,b1,St0,Bil7,8387,6901,mixture,St0 Bil7,9,5.5,03/31/2016,NA,04/20/2012,149.8,206.43,849,120,969
G876,b1,St0,Bor1,8387,5837,mixture,St0 Bor1,9.5,7.5,03/31/2016,04/03/2016,04/20/2012,141.9,198.53,538,399,937
G877,b1,St0,Br0,8387,6904,mixture,St0 Br0,10,8.5,04/03/2016,NA,04/18/2012,179,199.80,631,526,1157
G878,b1,St0,Bur,8387,6905,mixture,St0 Bur,8.5,8,03/31/2016,04/05/2016,04/19/2012,181.6,211.98,725,593,1318
G879,b1,St0,C24,8387,6906,mixture,St0 C24,9,7.5,03/31/2016,03/29/2016,04/18/2012,212.9,233.70,740,636,1376
G880,b1,St0,Col,8387,6909,mixture,St0 Col,7.5,8.5,04/03/2016,03/27/2016,04/18/2012,182.9,203.70,580,661,1241
G881,b1,St0,Ct,8387,6910,mixture,St0 Ct,9.5,8,03/31/2016,03/27/2016,04/18/2012,160.9,181.70,745,394,1139
G882,b1,St0,Ed1,8387,6009,mixture,St0 Ed1,9,7,03/31/2016,NA,04/20/2012,181.4,238.03,949,167,1116
G883,b1,St0,Ed2,8387,6913,mixture,St0 Ed2,9.5,4.5,03/31/2016,NA,04/19/2012,153.4,183.78,755,91,846
G884,b1,St0,Edi0,8387,6914,mixture,St0 Edi0,10,8,03/29/2016,NA,04/18/2012,277.4,298.20,783,507,1290
G885,b1,St0,Ei2,8387,6915,mixture,St0 Ei2,9,7,03/31/2016,04/07/2016,04/20/2012,170.8,227.43,751,438,1189
G886,b1,St0,Est,8387,6916,mixture,St0 Est,10,8,03/29/2016,03/29/2016,04/18/2012,161.4,182.20,787,314,1101
G887,b1,St0,Fab2,8387,6917,mixture,St0 Fab2,8,7,03/31/2016,NA,04/17/2012,251.6,251.60,900,275,1175
G888,b1,St0,Got22,8387,6920,mixture,St0 Got22,8.5,8.5,03/31/2016,NA,04/20/2012,193.6,250.23,638,508,1146
G889,b1,St0,Got7,8387,6921,mixture,St0 Got7,9.5,8,03/31/2016,NA,04/19/2012,207.9,238.28,767,420,1187
G890,b1,St0,Gu0,8387,6922,mixture,St0 Gu0,8,7,03/31/2016,03/24/2016,04/18/2012,143.9,164.70,704,382,1086
G891,b1,St0,Kin,8387,6926,mixture,St0 Kin,9,7.5,03/29/2016,04/03/2016,04/18/2012,251.5,272.30,925,573,1498
G892,b1,St0,Kond,8387,6929,mixture,St0 Kond,8,8,03/31/2016,NA,04/18/2012,275.8,296.60,560,698,1258
G893,b1,St0,Ler,8387,6932,mixture,St0 Ler,10,7.5,03/31/2016,03/27/2016,04/20/2012,142.5,199.13,916,455,1371
G894,b1,St0,Lov1,8387,6043,mixture,St0 Lov1,9.5,6.5,03/31/2016,NA,04/18/2012,179.2,200.00,952,182,1134
G895,b1,St0,Lov5,8387,6046,mixture,St0 Lov5,8.5,7,03/29/2016,NA,04/18/2012,203.6,224.40,766,151,917
G896,b1,St0,Lp22,8387,7520,mixture,St0 Lp22,10,9,03/31/2016,03/27/2016,04/20/2012,213.3,269.93,799,654,1453
G897,b1,St0,Lz,8387,6936,mixture,St0 Lz,9.5,8,03/31/2016,NA,04/20/2012,211.9,268.53,608,503,1111
G898,b1,St0,Mrk,8387,6937,mixture,St0 Mrk,7.5,9,04/03/2016,03/31/2016,04/17/2012,173.3,173.30,573,717,1290
G899,b1,St0,Mz,8387,6940,mixture,St0 Mz,NA,NA,03/31/2016,03/29/2016,04/20/2012,162.3,218.93,992,107,1099
G900,b1,St0,Nd,8387,6942,mixture,St0 Nd,6.5,7,04/03/2016,03/27/2016,04/18/2012,197,217.80,709,523,1232
G901,b1,St0,Nok3,8387,6945,mixture,St0 Nok3,6.5,5.5,04/03/2016,NA,04/17/2012,157.6,157.60,530,302,832
G902,b1,St0,Omo23,8387,7519,mixture,St0 Omo23,8,6,03/31/2016,NA,04/17/2012,209.9,209.90,592,356,948
G903,b1,St0,Oy,8387,6946,mixture,St0 Oy,10,9,03/31/2016,03/29/2016,04/18/2012,253,273.80,683,571,1254
